allocator,workload,avg_fragmentation,peak_fragmentation,avg_utilization,completed,failed_allocs,throughput_per_tick,total_latency,avg_latency_per_alloc,split_ops,stitch_ops,reserve_ops,seed
native,training,0.4554,1.0,0.5446,6,0,0.0226,17.4,2.9,6,0,3,0
native,training,0.5235,1.0,0.4765,6,0,0.0226,12.6,2.1,6,0,2,1
native,training,0.3402,1.0,0.6598,6,0,0.0226,17.4,2.9,6,0,3,2
fusion_pool,training,0.3769,1.0,0.6231,6,0,0.0226,13.4,2.233,6,2,2,0
fusion_pool,training,0.5235,1.0,0.4765,6,0,0.0226,13.4,2.233,6,2,2,1
fusion_pool,training,0.3402,1.0,0.6598,6,0,0.0226,17.8,2.967,6,1,3,2
page_adaptive,training,0.2425,1.0,0.7575,6,0,0.0226,15360.0,2560.0,0,0,3072,0
page_adaptive,training,0.4135,1.0,0.5865,6,0,0.0226,15360.0,2560.0,0,0,3072,1
page_adaptive,training,0.1936,1.0,0.8064,6,0,0.0226,15360.0,2560.0,0,0,3072,2
native,inference_steady_mixed,0.4072,1.0,0.5928,338,0,0.2899,25314.5,1.009,25093,0,2660,0
native,inference_steady_mixed,0.4185,1.0,0.5815,332,0,0.2804,25919.0,0.947,27358,0,2550,1
native,inference_steady_mixed,0.3639,1.0,0.6361,331,0,0.2871,24855.0,0.903,27534,0,2310,2
fusion_pool,inference_steady_mixed,0.3292,1.0,0.6708,338,0,0.2899,25573.3,1.019,25093,8183,2032,0
fusion_pool,inference_steady_mixed,0.3825,1.0,0.6175,332,0,0.2804,29103.0,1.064,27358,9544,2418,1
fusion_pool,inference_steady_mixed,0.2587,1.0,0.7413,331,0,0.2871,25328.2,0.92,27534,8215,1724,2
page_adaptive,inference_steady_mixed,0.2919,1.0,0.7081,338,0,0.2899,20897.0,0.833,0,0,3308,0
page_adaptive,inference_steady_mixed,0.3604,1.0,0.6396,332,0,0.2804,23774.0,0.869,0,0,3813,1
page_adaptive,inference_steady_mixed,0.2144,1.0,0.7856,331,0,0.2871,20228.4,0.735,0,0,3067,2
native,inference_bursty_mixed,0.4585,1.0,0.5415,354,0,0.3023,26460.8,0.998,26512,0,2751,0
native,inference_bursty_mixed,0.4482,1.0,0.5518,313,0,0.2696,22897.5,0.933,24531,0,2215,1
native,inference_bursty_mixed,0.3762,1.0,0.6238,332,0,0.2867,27884.2,1.007,27698,0,2924,2
fusion_pool,inference_bursty_mixed,0.4191,1.0,0.5809,354,0,0.3023,29151.2,1.1,26512,9378,2530,0
fusion_pool,inference_bursty_mixed,0.4192,1.0,0.5808,313,0,0.2696,25593.5,1.043,24531,8384,2078,1
fusion_pool,inference_bursty_mixed,0.3034,1.0,0.6966,332,0,0.2867,29627.0,1.07,27698,8905,2545,2
page_adaptive,inference_bursty_mixed,0.4228,1.0,0.5772,354,0,0.3023,23576.0,0.889,0,0,3807,0
page_adaptive,inference_bursty_mixed,0.3941,1.0,0.6059,313,0,0.2696,20871.0,0.851,0,0,3326,1
page_adaptive,inference_bursty_mixed,0.2599,1.0,0.7401,332,0,0.2867,25301.2,0.913,0,0,4117,2
native,inference_steady_short,0.7144,1.0,0.2856,333,0,0.3239,4538.4,0.659,6888,0,228,0
native,inference_steady_short,0.6779,1.0,0.3221,330,0,0.3232,4488.2,0.64,7018,0,204,1
native,inference_steady_short,0.6818,1.0,0.3182,324,0,0.3158,4546.3,0.652,6971,0,221,2
fusion_pool,inference_steady_short,0.571,1.0,0.429,333,0,0.3239,5719.2,0.83,6888,3588,175,0
fusion_pool,inference_steady_short,0.5391,1.0,0.4609,330,0,0.3232,5632.2,0.803,7018,3424,157,1
fusion_pool,inference_steady_short,0.5677,1.0,0.4323,324,0,0.3158,5903.9,0.847,6971,3598,204,2
page_adaptive,inference_steady_short,0.5275,1.0,0.4725,333,0,0.3239,2548.8,0.37,0,0,244,0
page_adaptive,inference_steady_short,0.5081,1.0,0.4919,330,0,0.3232,2536.4,0.361,0,0,236,1
page_adaptive,inference_steady_short,0.5049,1.0,0.4951,324,0,0.3158,2555.8,0.367,0,0,242,2
native,inference_bursty_long,0.3937,1.0,0.6063,386,0,0.3249,64371.0,1.109,58038,0,7365,0
native,inference_bursty_long,0.3429,1.0,0.6571,367,0,0.3177,61268.4,1.097,55836,0,6948,1
native,inference_bursty_long,0.3436,1.0,0.6564,255,0,0.2129,48419.2,1.26,38432,0,6084,2
fusion_pool,inference_bursty_long,0.3894,1.0,0.6106,386,0,0.3249,71913.8,1.239,58038,20669,7214,0
fusion_pool,inference_bursty_long,0.3096,1.0,0.6904,367,0,0.3177,65864.0,1.18,55836,18905,6330,1
fusion_pool,inference_bursty_long,0.3318,1.0,0.6682,255,0,0.2129,55188.4,1.436,38432,14763,6264,2
page_adaptive,inference_bursty_long,0.3777,1.0,0.6223,386,155,0.3249,59209.2,1.02,0,0,9917,0
page_adaptive,inference_bursty_long,0.281,1.0,0.719,367,0,0.3177,56191.2,1.006,0,0,9380,1
page_adaptive,inference_bursty_long,0.3184,1.0,0.6816,255,0,0.2129,53771.2,1.399,0,0,9601,2
