allocator,workload,avg_fragmentation,peak_fragmentation,avg_utilization,completed,failed_allocs,throughput_per_tick,total_latency,avg_latency_per_alloc,split_ops,stitch_ops,reserve_ops,seed
page_adaptive,inference_steady_mixed,0.2919,1.0,0.7081,338,0,0.2899,20897.0,0.833,0,0,3308,0
page_adaptive,inference_steady_mixed,0.3604,1.0,0.6396,332,0,0.2804,23774.0,0.869,0,0,3813,1
page_adaptive,inference_steady_mixed,0.2144,1.0,0.7856,331,0,0.2871,20228.4,0.735,0,0,3067,2
page_fixed,inference_steady_mixed,0.2919,1.0,0.7081,338,0,0.2899,20930.6,0.834,0,0,3315,0
page_fixed,inference_steady_mixed,0.3607,1.0,0.6393,332,0,0.2804,23788.4,0.87,0,0,3816,1
page_fixed,inference_steady_mixed,0.2159,1.0,0.7841,331,0,0.2871,20228.4,0.735,0,0,3067,2
page_adaptive,inference_bursty_mixed,0.4228,1.0,0.5772,354,0,0.3023,23576.0,0.889,0,0,3807,0
page_adaptive,inference_bursty_mixed,0.3941,1.0,0.6059,313,0,0.2696,20871.0,0.851,0,0,3326,1
page_adaptive,inference_bursty_mixed,0.2599,1.0,0.7401,332,0,0.2867,25301.2,0.913,0,0,4117,2
page_fixed,inference_bursty_mixed,0.4229,1.0,0.5771,354,0,0.3023,23724.8,0.895,0,0,3838,0
page_fixed,inference_bursty_mixed,0.3946,1.0,0.6054,313,0,0.2696,20967.0,0.855,0,0,3346,1
page_fixed,inference_bursty_mixed,0.2688,1.0,0.7312,332,0,0.2867,26064.4,0.941,0,0,4276,2
page_adaptive,inference_steady_short,0.5275,1.0,0.4725,333,0,0.3239,2548.8,0.37,0,0,244,0
page_adaptive,inference_steady_short,0.5081,1.0,0.4919,330,0,0.3232,2536.4,0.361,0,0,236,1
page_adaptive,inference_steady_short,0.5049,1.0,0.4951,324,0,0.3158,2555.8,0.367,0,0,242,2
page_fixed,inference_steady_short,0.5269,1.0,0.4731,333,0,0.3239,2587.2,0.376,0,0,252,0
page_fixed,inference_steady_short,0.5011,1.0,0.4989,330,0,0.3232,2555.6,0.364,0,0,240,1
page_fixed,inference_steady_short,0.5269,1.0,0.4731,324,0,0.3158,2685.4,0.385,0,0,269,2
page_adaptive,inference_bursty_long,0.3777,1.0,0.6223,386,155,0.3249,59209.2,1.02,0,0,9917,0
page_adaptive,inference_bursty_long,0.281,1.0,0.719,367,0,0.3177,56191.2,1.006,0,0,9380,1
page_adaptive,inference_bursty_long,0.3184,1.0,0.6816,255,0,0.2129,53771.2,1.399,0,0,9601,2
page_fixed,inference_bursty_long,0.3794,1.0,0.6206,386,113,0.3249,59607.6,1.027,0,0,10000,0
page_fixed,inference_bursty_long,0.2815,1.0,0.7185,367,0,0.3177,56359.2,1.009,0,0,9415,1
page_fixed,inference_bursty_long,0.3192,1.0,0.6808,255,0,0.2129,53886.4,1.402,0,0,9625,2
